내용,URL,담당자,상태,설명,유형,인증,카테고리
상품 목록 조회,/products,,시작 전,2026 A/W 신상품 목록을 인기순으로 조회합니다. 정렬·필터 기능은 필요 시 추가 구현 예정입니다.,GET,불필요,상품
상품 상세 조회,/products/{productId},,시작 전,"상품 상세 정보를 조회합니다. 색상별로 이미지 목록과 사이즈 목록이 중첩되어 반환됩니다. productColorId는 위시리스트·AI 피팅에, productSizeId는 쇼핑백 담기에 사용합니다.",GET,불필요,상품
,,,시작 전,,,,
AI 피팅 요청,/fitting-sessions,,시작 전,"업로드한 이미지와 상품을 조합해 가상 피팅 이미지 생성을 요청합니다. Upload URL 발급 → Azure Blob 업로드 이후, Fitting 버튼 클릭 시점에 호출합니다. 요청 시 크레딧이 차감되며, fileKey 미전달 시 회원의 기본 전신 이미지를 사용합니다. 잔액이 부족하면 실패합니다. 응답은 즉시 PENDING으로 반환되고, 결과는 조회 API로 폴링합니다.",POST,필요,AI 가상 피팅
AI 피팅 결과 조회,/fitting-sessions/{fittingSessionId},,시작 전,"피팅 세션의 처리 상태와 결과 이미지를 조회합니다. 로딩 화면에서 2초 간격으로 폴링하며, status가 DONE이 되면 resultImageUrl이 채워집니다. FAILED인 경우 차감된 크레딧은 자동 환급됩니다.",GET,필요,AI 가상 피팅
이미지 업로드 URL 발급 (1),/fitting-sessions/upload-url,박세웅,완료,"이미지를 Azure Blob에 직접 올리기 위한 임시 업로드 URL(SAS)을 발급합니다. 이 API는 파일을 받지 않습니다. 발급받은 uploadUrl에 클라이언트가 직접 PUT으로 파일을 올린 뒤, fileKey를 이후 API에 사용합니다.",POST,필요,AI 가상 피팅
이미지 업로드 URL 발급에 이어 Azure에 파일 업로드 (2),{uploadUrl} 전체 문자열,박세웅,완료,위 api에서 받은 uploadUrl로 로컬 이미지 파일을 올립니다. 우리 백엔드가 아니라 Azure Blob으로 직접 요청합니다.,PUT,불필요,AI 가상 피팅
바디 이미지 등록/수정 (3),/users/me/body-image,박세웅,완료,"Azure 업로드가 끝난 fileKey를 유저의 기본 전신(바디) 이미지로 저장합니다. 피팅 시 기본 이미지로 재사용할 수 있습니다. 파일을 다시 보내지 말고, 1번에서 받은 fileKey만 보냅니다.",PUT,필요,"AI 가상 피팅, 인증"
설문 문항 조회,/surveys/questions,박세웅,완료,Boarding Pass 발급 전 취향 설문 문항과 선택지를 순서대로 조회합니다. 총 6문항이며 Q6는 자유 텍스트(선택 입력)입니다. 문항 내용은 서버에서 관리되어 변경 가능합니다.,GET,필요,Boarding Pass
Boarding Pass 발급,/boarding-passes,박세웅,시작 전,"설문 응답을 제출하고 Boarding Pass를 발급합니다. 발급 시점의 위시리스트·쇼핑백 데이터가 티켓에 스냅샷으로 저장되며, 온라인 이용 기록이 없으면 설문 응답 기반으로 상품이 선정됩니다. 발급과 동시에 AI 추천 동선이 계산되어 저장됩니다. dataConsent가 false면 위시리스트·쇼핑백을 읽지 않고 설문 응답만으로 상품을 선정합니다.",POST,필요,Boarding Pass
최근 Boarding Pass 조회,/boarding-passes/latest,박세웅,시작 전,"가장 최근에 발급받은 Boarding Pass를 조회합니다. 기존 Boarding Pass 스캔 버튼 진입 시 호출하며, 발급 이력이 없으면 404를 반환합니다.",GET,필요,Boarding Pass
Boarding Pass 스캔,/boarding-passes/{boardingPassId}/scan,박세웅,시작 전,"매장 입구에서 Boarding Pass를 스캔 처리합니다. 심사 환경에서는 스캔 시뮬레이션 버튼으로 호출합니다. 방문 기록이 생성되고 AI 피팅 크레딧이 지급되며, 티켓 상태가 SCANNED로 전환됩니다. 이미 스캔된 티켓은 중복 처리되지 않습니다.",POST,필요,Boarding Pass
AI 추천 동선 조회,/boarding-passes/{boardingPassId}/route,박세웅,시작 전,"발급 시 계산된 층별 추천 동선을 순서대로 조회합니다. 각 단계에는 해당 층을 추천한 AI 생성 사유가 포함되며, 비행 모드 화면과 Travel Guide 진입에 사용합니다. 5개 층 전부 반환되며, isRecommended가 true인 층만 강조 표시합니다.",GET,필요,Boarding Pass
비행 종료 (매장 나가기),/boarding-passes/{boardingPassId}/complete,박세웅,시작 전,"매장 관람을 종료합니다. 체류 시간이 계산되어 방문 기록에 저장되고, 여권에 방문 스탬프가 발급됩니다. 티켓 상태는 COMPLETED로 전환됩니다.",POST,필요,Boarding Pass
층 목록 조회,/floors,박세웅,완료,매장의 층 목록을 조회합니다. Travel Guide 첫 화면의 층 인덱스를 구성할 때 사용합니다.,GET,필요,Travel Guide (층 콘텐츠)
층 상세 콘텐츠 조회,/floors/{floorId},박세웅,완료,"특정 층의 브랜드 스토리 콘텐츠를 노출 순서대로 조회합니다. blockType은 TEXT · IMAGE · PRODUCT · QUOTE · LIST이며, 연속된 LIST 블록은 하나의 목록으로 묶어 렌더링합니다. audioUrl은 사전 생성된 음성 도슨트 파일 URL입니다.",GET,필요,Travel Guide (층 콘텐츠)
여권 조회,/passport,,시작 전,"여권 신분면 정보를 조회합니다. 이름·국적은 회원 가입 시 입력한 값이며, 크레딧 잔액과 누적 방문 횟수가 함께 반환됩니다.",GET,필요,Passport
방문 스탬프 목록 조회,/passport/stamps,,시작 전,"여권에 적립된 방문 스탬프를 최신순으로 조회합니다. 각 스탬프는 방문 기록과 1:1로 대응하며, visitLogId로 방문 상세를 조회할 수 있습니다.",GET,필요,Passport
방문 상세 조회,/passport/visits/{visitLogId},,시작 전,"특정 방문 회차의 상세 기록을 조회합니다. 입장번호·체류 시간과 함께 당시 발급받은 티켓 정보와 관람한 층 동선이 반환되어, 여권의 TICKET 및 TRAVEL HISTORY 모달에 사용됩니다. TRAVEL HISTORY에서 층을 선택하면 응답의 floorId로 층 상세 콘텐츠 API를 호출해 본문을 표시합니다.",GET,필요,Passport
크레딧 내역 조회,/passport/credits,,시작 전,"크레딧 적립·차감 내역을 최신순으로 조회합니다. amount가 양수면 적립, 음수면 차감입니다. 여권 화면의 크레딧 잔액 하단 내역 목록에 사용합니다.",GET,필요,Passport
